Model Part,Pallet Section,Part Link,Display Var,DVar1,DVar2,Sequence,SVar1,Part Toggle,Paralax,PVar1,PVar2,Tmenu Button,Tab Link,,Color Link
Shadow,,,,,,,,,,,,,,,
01SkinTop,0,,,,,,,,,,,TMenu_01SkinTop,,,
02Skin,0,,,,,,,,,,,TMenu_02Skin,,,
03Eyes,0,,,,,,,,,,,TMenu_03Eyes,,,
04Lashes,0,,,,,,,,,,,TMenu_04Lashes,,,
05Brovs,0,,,,,,,,,,,TMenu_05Brovs,,,
06Hair,0,,,,,,,,,,,TMenu_06Hair,,,
07HairTies,0,,,,,,,,,,,TMenu_07HairTies,,,
08Scarft,0,,,,,,,,,,,TMenu_08Scarft,,,
09Collar,0,,,,,,,,,,,TMenu_09Collar,,,
10Dress,0,,,,,,,,,,,TMenu_10Dress,,,
11DressCore,0,,,,,,,,,,,TMenu_11DressCore,,,
12DressFlaps,0,,,,,,,,,,,TMenu_12DressFlaps,,,
13DressUnder,0,,,,,,,,,,,TMenu_13DressUnder,,,
14DressUnderT,0,,,,,,,,,,,TMenu_14DressUnderT,,,
15Straps,0,,,,,,,,,,,TMenu_15Straps,,,
16Socks,0,,,,,,,,,,,TMenu_16Socks,,,
17Gloves,0,,,,,,,,,,,TMenu_17Gloves,,,
18Hat,0,,,,,,,,,,,TMenu_18Hat,,,
19HatUnder1,0,,,,,,,,,,,TMenu_19HatUnder1,,,
20HatUnder2,0,,,,,,,,,,,TMenu_20HatUnder2,,,
21HatBow,0,,,,,,,,,,,TMenu_21HatBow,,,
22Bow,0,,,,,,,,,,,TMenu_22Bow,,,
23Boots,0,,,,,,,,,,,TMenu_23Boots,,,
24BootsDetails,0,,,,,,,,,,,TMenu_24BootsDetails,,,
25BroomTie,0,,,,,,,,,,,TMenu_25BroomTie,,,
26BroomStick,0,,,,,,,,,,,TMenu_26BroomStick,,,
27BroomHairs,0,,,,,,,,,,,TMenu_27BroomHairs,,,
28Base,0,,,,,,,,,,,TMenu_28Base,,,
29EyesGLOSS,0,,,,,,,,,,,TMenu_29EyesGLOSS,,,
